Genres,Status,Year,Title,Description
"Romance, Comedy, Slice of Life",Ongoing,2025,Kawaii No Wa Ore De Aru,"Yuki, the visual representative of a famous dance influencer group with one million subscribers, had a problem. He could never maintain a relationship for long! He was immediately labeled as frivolous, suspected of cheating (even though he wasn’t), and dumped—over and over again. Even though he was dating them because he truly liked them…! One day, at a drinking party, Yuki became intrigued by a reserved and elegant girl, Yurino, who was trying to leave early. Curious, he followed her out of the venue. Little did he know, this was the beginning of a never-ending spiral of romantic misfortunes."
"Demons, Comedy, Isekai, Fantasy, Slice of Life",Ongoing,2024,Host to Maou,"Suddenly, the Demon King has arrived in Kabukichou from the Demon World. By chance, he enters a host club and encounters Yuusha, Kabukichou's No. 1 host, and challenges him to a contest...?! The strongest and most beautiful battle(?) comedy in history has begun...!!"
"Comedy, 4-Koma, School Life",Completed,2015,Handstand!,"The story of the girls in the gymnastics club unfolds at a certain high school in Hokkaido! There's the overly serious club president Yuka, the hopeless at sports Ichigo, the overly negative Hinata and the short with weird mannerisms Nanami. A gymnastics club 4-koma that will have you laughing every second, drawn by the up-and-coming Arima, begins now!"
"Historical, Romance, Boys' Love, Drama",Completed,2022,Kyuubigitsune no Hanayome,"Rasen is the eldest son of a historian, whose family has passed down the legend of the bride of the nine-tailed fox for generations. He was meant to be the heir, but due to his daily laziness, he is offered as a ""bride"" to the mountain where the nine-tailed fox is said to live. A man appears there, so beautiful that it seems unearthly, indistinguishable from a human except for his ears and tail. Just by making eye contact with the man, Rasen's body mysteriously tingles, and he can't help wanting to touch him and be touched by him. Soon after meeting him, Rasen loses his virginity to the nine-tailed fox. Furthermore, he learns that he is not a bride, but in fact a sacrifice...!?"
"Romance, Boys' Love, Slice of Life",Ongoing,2024,Koi ni Ochiru Recipe,"""Would you like to have a meal together?"" Sumiya, who was served dinner by Megumi, a beautiful neighbor who recently moved in. Since then, the two of them have been in a relationship where they eat dinner together every day... From friend to lover, and from lover to family. Heart-warming love that fills your heart!"
"Historical, Romance, Philosophical, Drama, Slice of Life, Full Color",Ongoing,2019,Veil,"""He"", a police officer on his shift, happened to meet ""her"" on the streets, by chance. Through its bold yet delicate brushwork and elegant prose, this stylish, full-colour comic illustrates the subtle air of intimacy between these two individuals. --- A chance encounter. A handsome policeman. A beautiful woman. A tentative love affair smolders on the snowy cobblestone streets, out of sight from those that might keep them apart. *Veil* is a beautifully illustrated full-color romance manga, told in stylish short vignettes, beautiful illustrations, and secret moments."
"Romance, Comedy, Drama, School Life, Slice of Life",Ongoing,2021,The Fragrant Flower Blooms with Dignity,"In a certain place, there are two neighboring high schools. Chidori High School, a bottom-feeder boys' school where idiots gather, and Kikyo Girls' School, a well-established girls' school. Rintaro Tsumugi, a strong and quiet second year student at Chidori High School, meets Kaoruko Waguri, a girl who comes as a customer while helping out at his family's cake shop. Rintaro feels comfortable spending time with Kaoruko, but she is a student at Kikyo Girls, a neighboring school that thoroughly dislikes Chidori High. ___ **Links:** - [Official Twitter (JP)](https://twitter.com/kaoruhana_mp) - Official English - [K MANGA](https://kmanga.kodansha.com/title/10023/episode/320130) (U.S. Only | Simulpub)"
"Romance, Comedy, Sports, Drama, School Life, Delinquents, Slice of Life, Music",Ongoing,2012,Kono Oto Tomare!,"Since the graduation of the senior members of the club, Takezou ends up being the sole member of the ""Koto"" (traditional Japanese string instrument) club. Now that the new school year has begun, Takezou will have to seek out new members for the club, or the club will be terminated. Out of nowhere, a new member barges into the near-abandoned club room, demanding to join the club. How will Takezou be able to keep his club alive and deal with this rascal of a new member?"
"Award Winning, Sports, Drama",Ongoing,2020,Medalist,"There is a dream worth putting two lives on the line for. Tsukasa, a young man with shattered dreams, and Inori, a girl no one believed in. However, in the face of adversity, those two possessed a tenacity towards the rink greater than anyone had ever known. Together, they meet on the ice, and aim for the world with their figure skating! --- **Links:** - [Series' Twitter](https://twitter.com/medalist_AFT) - Alternative Official English - [K MANGA (U.S. Only)](https://kmanga.kodansha.com/title/10231/episode/318207), [Kodansha](https://kodansha.us/series/medalist/)"
"Comedy, 4-Koma, Slice of Life, Music",Ongoing,2017,Bocchi the Rock!,"Hitori Gotou is a high school girl who's starting to learn to play the guitar because she dreams of being in a band, but she's so shy that she hasn't made a single friend. However her dream might come true after she meets Nijika Ijichi, a drummer girl looking for a new guitarist for her band."
"Drama, Slice of Life, Music",Completed,2016,Blue Giant Supreme,"After leaving his mark on Japan, Dai is taking on Europe! Direct continuation of Blue Giant, a manga about the evolution of the young saxophonist Dai Miyamoto in the jazz world. Blue Giant Supreme sees our protagonist travel to Europe. Having just arrived in Munich, without being able to speak a word of German and with just average English, he manages to secure a roof over his head, food and drink, but struggles to get the most important thing: a place where he can have his music heard. A whole new element added on top of the enthralling story that enchants every music lover: the discovery of a new culture. Dai will travel all over Europe, from Germany to France, accompanied by his instrument, growing as a musician and a person in the process of fulfilling his dream of becoming the best in the world. [Official Site](https://bluegiant.jp/)"
"Sci-Fi, Action, Animals, Romance, Comedy, Mecha, Martial Arts, Drama, School Life, Slice of Life",Ongoing,2006,Nichijou,"While the title suggests a story of simple, everyday school life, the contents are more the opposite. The setting is a strange school where you may see the principal wrestle a deer or a robot's arm hide a rollcake. However there are still normal stories, like making a card castle or taking a test you didn't study for. The art style is cute but mixes with extreme expressions and action sequences for surprising comedy bits. (The original magazine run ends at Chapter 192)"
"Award Winning, Monsters, Demons, Adventure, Magic, Drama, Fantasy, Slice of Life",Ongoing,2020,Sousou no Frieren,"The adventure is over but life goes on for an elf mage just beginning to learn what living is all about. Elf mage Frieren and her courageous fellow adventurers have defeated the Demon King and brought peace to the land. With the great struggle over, they all go their separate ways to live a quiet life. But as an elf, Frieren, nearly immortal, will long outlive the rest of her former party. How will she come to terms with the mortality of her friends? How can she find fulfillment in her own life, and can she learn to understand what life means to the humans around her? Frieren begins a new journey to find the answer."
"Award Winning, Action, Psychological, Comedy, Sports, Martial Arts, Drama, School Life, Slice of Life",Ongoing,1989,Hajime no Ippo,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school, Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning. Official Release: - Indonesian release by Level Comics as **Fight!! Ippo** (2006-ongoing)"
"Magic, Fantasy, Slice of Life",Ongoing,2023,Majo no Hanaya-san,"Allie Abel, a girl who came from the countryside wishing to become a witch who can make people happy with magic, meets Yoshino-York, an unusual witch who sells ordinary flowers and believes that ""people can be happy without relying on magic"". Allie, who has been assigned to work at Yoshino's florist as an apprentice witch, is now making ""happiness"" that was supposed to come true through magic come true with her own hands...? A heroine fantasy of flowers and magic that will bring a little smile to your face!"
"Action, Comedy, Crime, Survival, Adventure, Gore, Drama, School Life, Fantasy, Delinquents, Police, Slice of Life, Supernatural, Mystery",Ongoing,2023,JoJo's Bizarre Adventure Part 9 - The JOJOLands,"The ninth story arc of Jojo’s Bizarre Adventure. O’ahu, present day. Dua Lipa is the trending musician, and COVID is still a major concern. On this island lives a 15-year-old boy named Jodio Joestar. Living with his brother and mother, he acts as a dealer for certain illegal substances. One day, his employer comes and shows him an excellent find: a Japanese person has landed in Hawaii with a diamond worth over six million dollars. Normally it would be impossible to steal, but for someone with a stand… This is a story of a young boy and his quest to become rich."
"Comedy, Crime, Adventure, Drama, Slice of Life",Completed,2020,Nick & Lever,"The story of two foreign men living in Japan. (from ebookjapan): Nick, with his stylish hair, and Lever, with his dazzling eyes behind his sunglasses, are a HOT & CRAZY foreign duo who will face any obstacles that come their way! The genius Kyogoro Miyata, who wastes no time in drawing, unleashes a shocking high-speed manga. Nick and Lever are finally here!"
"Award Winning, Psychological, Romance, Girls' Love, Drama, Medical, School Life, Slice of Life, Tragedy",Completed,2020,The Summer You Were There,"Shizuku Hoshikawa, a high school girl who lives avoiding contact with people, writes a novel which is accidentally read by her classmate Kaori Asaka. She loves it but finds out Hoshikawa wasn't planning to write anymore due to lack of ideas, to which she ends up saying: ""Let's start going out, you and me… You can write a story about our own love."""
"Award Winning, Sci-Fi, Monsters, Action, Animals, Comedy, Crime, Adventure, Gore, Drama, Fantasy, Supernatural",Ongoing,1997,One Piece,"Gol D. Roger, a man referred to as the ""Pirate King,"" is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the Pirate King is executed and the Great Age of Pirates begins. Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new Pirate King. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas"
"Thriller, Award Winning, Historical, Action, Psychological, Romance, Comedy, Survival, Martial Arts, Adventure, Military, Gore, Drama, Slice of Life, Tragedy",Ongoing,2005,Vinland Saga,"As a child, Thorfinn sat at the feet of the great Leif Ericson and thrilled to wild tales of a land far to the west. But his youthful fantasies were shattered by a mercenary raid. Raised by the Vikings who murdered his family, Thorfinn became a terrifying warrior, forever seeking to kill the band's leader, Askeladd, and avenge his father. Sustaining Thorfinn through his ordeal are his pride in his family and his dreams of a fertile westward land, a land without war or slavery… the land Leif called Vinland. --- - **Won the Japan Media Arts Award Division Grand Prize in 2009** - **Won the 36th Kodansha Manga Award for General Manga in 2012**"
"Action, Demons, Comedy, Survival, Magic, Gore, Drama, Fantasy, Supernatural, Mystery",Ongoing,2022,Zatch Bell! 2,"The sequel to Konjiki no Gash!!, aka Zatch Bell. Once the battle to decide the king of the demon world, in which 100 demon children fought against each other, had come to an end… the king of the demon world was crowned, and the demon world lived out the rest of its days in peace. Or at least, that was how it was supposed to be. Now, a shocking fact about the current state of the demon world comes to light. And in the depths of their despair, three demon children decide to risk it all for one last chance at survival."
"Comedy, Drama, Slice of Life",Ongoing,2021,Hirayasumi,"29-year-old freeter Ikuta Hiroto is a carefree young man without a love life, regular job, or any real worries about the future. He inherits an old house from the neighbourhood granny, where his 18-year-old cousin, Natsumi moves in with him to study art in Tokyo. This is a story about Hiroto and the people around him who struggle with life."
"Award Winning, Romance, Girls' Love, School Life, Web Comic, Slice of Life, Music, Gyaru",Ongoing,2022,The Guy She Was Interested in Wasn't a Guy at All,"Fashionable and upbeat high schooler Aya falls head over heels for an employee at a local CD shop. He’s got an air of mystery about him, always dressed well, and has impeccable taste in music. Little does she know — this supposedly male employee is actually her female classmate Mitsuki! Mitsuki generally keeps to herself, but since her seat is right next to Aya’s, she can't help but be extremely aware of the other’s crush. Revealing the truth is out of the question — but perhaps getting closer to Aya wouldn’t be so bad... ***Overwhelming winner in the Web category of the 2023 Tsugimanga Awards (by Kadokawa).***"
"Award Winning, Historical, Romance, Comedy, Drama, Medical, Slice of Life, Mystery",Ongoing,2017,Kusuriya no Hitorigoto,"Maomao, a young woman trained in the art of herbal medicine, is forced to work as a lowly servant in the inner palace. Though she yearns for life outside its perfumed halls, she isn’t long for a life of drudgery! Using her wits to break a “curse” afflicting the imperial heirs, Maomao attracts the attentions of the handsome eunuch Jinshi and is promoted to attendant food taster. But Jinshi has other plans for the erstwhile apothecary, and soon Maomao is back to brewing potions and…solving mysteries?!"
